title,playtime,image_url,last_played
Animal Crossing: New Horizons,11h 4m,https://m.exophase.com/nintendo/games/m/8j46djb.png?f5e87661a3399b5e22064dca981e84fe,
Army of Ruin,48m,https://m.exophase.com/nintendo/games/m/35e5g38.png?f4b9787e7cf57052d2c3210af0d4f3a6,
Balatro,24m,https://m.exophase.com/nintendo/games/m/358g7ge.png?b59c5e1917b9d7edde65d4d970815952,
Brawlhalla,22m,https://m.exophase.com/nintendo/games/m/b83355d.png?58d441996aec0feabac8c2801ba8cb73,
Brotato,1h 13m,https://m.exophase.com/nintendo/games/m/6d6gd4j.png?c7c8683e90bd600dd5a2e40a824a0617,
CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS,55m,https://m.exophase.com/nintendo/games/m/001eb31.png?33db5cba38c324d9d0c7bf29067d3b78,
CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS DEMO VERSION,31m,https://m.exophase.com/nintendo/games/m/8jejj6d.png?fc67d0e52b20cd11feee4512ef7c69f0,
Castle Crashers Remastered,3h 40m,https://m.exophase.com/nintendo/games/m/j018j3g.png?6eb02f657195039381d41f843bbc5a10,
Clubhouse Games: 51 Worldwide Classics,5h 19m,https://m.exophase.com/nintendo/games/m/6dg30j1.png?2cea87b6f2760dcbd0664130ed5b9aee,
Crimzon Clover World Explosion,22m,https://m.exophase.com/nintendo/games/m/b83jj85.png?6b31fe5810886a5a2a069b8165528e4d,
Cult of the Lamb,,https://m.exophase.com/nintendo/games/m/77de644.png?d62cab745edbea9dbe21338d1699289b,
Diablo III: Eternal Collection,1h 49m,https://m.exophase.com/nintendo/games/m/8j4017g.png?2cea87b6f2760dcbd0664130ed5b9aee,
Dicey Dungeons,34m,https://m.exophase.com/nintendo/games/m/001j7de.png?f5e87661a3399b5e22064dca981e84fe,
F-ZERO 99,2h 13m,https://m.exophase.com/nintendo/games/m/ee47e45.png?9eb3f58e8e2624ed319853a52114f4e1,
FINAL FANTASY X/X-2 HD Remaster,33m,https://m.exophase.com/nintendo/games/m/gj74110.png?5bcdca6748771a0e88dacfc909628e07,
Hades,27m,https://m.exophase.com/nintendo/games/m/ee8gd6d.png?f5e87661a3399b5e22064dca981e84fe,
Horizon Chase Turbo,4h 43m,https://m.exophase.com/nintendo/games/m/gj7de56.png?3475c11bb2d3109a79b428ddd9f8fbf8,
Hotline Miami Collection,49m,https://m.exophase.com/nintendo/games/m/ee8g447.png?2cea87b6f2760dcbd0664130ed5b9aee,
Hotshot Racing,27m,https://m.exophase.com/nintendo/games/m/gj78e00.png?6eb02f657195039381d41f843bbc5a10,
ISLANDERS: New Shores Demo,22m,https://m.exophase.com/nintendo/games/m/4eeg3b8.png?96da641c46d7c7c76c1a2b5a5376857d,
Katamari Damacy REROLL,1h 19m,https://m.exophase.com/nintendo/games/m/4064047.png?4f6095aaf07bfa9d43905eab95819fc8,
Mario Kart 8 Deluxe,11h 55m,https://m.exophase.com/nintendo/games/m/j015760.png?3075f08a5d5c7b7be56834db06dbb25d,
Mario Kart World,8h 55m,https://m.exophase.com/nintendo/games/m/67760g3.png?1a0ae64dd3e78ee7bf17efd50b09aa53,
Nintendo 64 – Nintendo Switch Online,9m,https://m.exophase.com/nintendo/games/m/gj73b3b.png?f5e87661a3399b5e22064dca981e84fe,
Nintendo Entertainment System - Nintendo Switch Online,4m,https://m.exophase.com/nintendo/games/m/1310b77.png?f5e87661a3399b5e22064dca981e84fe,
Pokémon HOME,4h 28m,https://m.exophase.com/nintendo/games/m/gj73b1b.png?f5e87661a3399b5e22064dca981e84fe,
Pokémon Mystery Dungeon Rescue Team DX,5h 7m,https://m.exophase.com/nintendo/games/m/8j4g750.png?a5cd3a364c4e49da08b35e5eaf6e6845,
Pokémon Quest,1h 28m,https://m.exophase.com/nintendo/games/m/40617d6.png?f5e87661a3399b5e22064dca981e84fe,
Pokémon Sword,120h 7m,https://m.exophase.com/nintendo/games/m/406b500.png?f5e87661a3399b5e22064dca981e84fe,
Pokémon UNITE,21h 55m,https://m.exophase.com/nintendo/games/m/gj75035.png?f5e87661a3399b5e22064dca981e84fe,
Pokémon Violet,54m,https://m.exophase.com/nintendo/games/m/8je4d81.png?0f709f8547fab44792677524952646c1,
"Pokémon: Let’s Go, Eevee!",19h 6m,https://m.exophase.com/nintendo/games/m/55b307b.png?f5e87661a3399b5e22064dca981e84fe,
Ring Fit Adventure,4h 40m,https://m.exophase.com/nintendo/games/m/ee8g4j7.png?5632de515b5173484473a8811328249e,
Risk of Rain,40m,https://m.exophase.com/nintendo/games/m/55bdj74.png?6b799894994b35dc2b65f2f653289aca,
Rogue Legacy,58m,https://m.exophase.com/nintendo/games/m/3546dge.png?2cea87b6f2760dcbd0664130ed5b9aee,
SEGA Genesis – Nintendo Switch Online,10m,https://m.exophase.com/nintendo/games/m/35463de.png?f5e87661a3399b5e22064dca981e84fe,
Slay the Spire,2h 33m,https://m.exophase.com/nintendo/games/m/ee8gd57.png?2cea87b6f2760dcbd0664130ed5b9aee,
Space Gladiators,34m,https://m.exophase.com/nintendo/games/m/b8b1ej5.png?98e76d820a27634aba2b2ba464a32faf,
SteamWorld Heist: Ultimate Edition,1h 22m,https://m.exophase.com/nintendo/games/m/6dg3865.png?76890c8e9995cbcb54098d3c30002b85,
Super Kirby Clash,52m,https://m.exophase.com/nintendo/games/m/131j50e.png?f5e87661a3399b5e22064dca981e84fe,
Super Mario 3D World + Bowser’s Fury,12m,https://m.exophase.com/nintendo/games/m/131j5de.png?f5e87661a3399b5e22064dca981e84fe,
Super Mario Bros. Wonder,9h 13m,https://m.exophase.com/nintendo/games/m/00ge5g6.png?bf1502833d7b1143204e848aa09f480e,
Super Nintendo Entertainment System - Nintendo Switch Online,19m,https://m.exophase.com/nintendo/games/m/dg8171j.png?f5e87661a3399b5e22064dca981e84fe,
Super One More Jump,33m,https://m.exophase.com/nintendo/games/m/j01403e.png?68fbd11b9c19385db554e5a926789ea2,
Super Smash Bros. Ultimate,10h 13m,https://m.exophase.com/nintendo/games/m/j015733.png?f5e87661a3399b5e22064dca981e84fe,
Tetris 99,1h 57m,https://m.exophase.com/nintendo/games/m/j01eb54.png?f5e87661a3399b5e22064dca981e84fe,
The Legend of Zelda: Breath of the Wild,1h,https://m.exophase.com/nintendo/games/m/55b30gb.png?f5e87661a3399b5e22064dca981e84fe,
The Legend of Zelda: Link’s Awakening,12h 36m,https://m.exophase.com/nintendo/games/m/1310bj7.png?f5e87661a3399b5e22064dca981e84fe,
Torchlight 2,18m,https://m.exophase.com/nintendo/games/m/dg8d5jg.png?58ceadec2b63fe44213c2f400714e3a7,
Unravel Two,5h 22m,https://m.exophase.com/nintendo/games/m/77d58g7.png?cb61efe58f8071bc1f435b803486d244,
Vampire Survivors,1h 43m,https://m.exophase.com/nintendo/games/m/dg54145.png?8e093da169620a1693cf81bf8eeacbcb,
